Journal,Society,ISSN,eISSN,Publisher name,Publisher address,Publisher country,Languages,Web of Science Categories,notes
Data in Brief,,2352-3409,2352-3409,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NLD,English,Multidisciplinary Sciences,
Journal of Exotic Pet Medicine,Association of Exotic Mammal Veterinarians (AEMV); European Association of Avian Veterinarians (EAAV),1557-5063,1931-6283,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NLD,English,,
Journal of Zoo and Aquarium Research,,2214-7594,2214-7594,EUROPEAN ASSOC ZOOS & AQUARIA - EAZA,"Plantage Middenlaan 45, AMSTERDAM, Netherlands, 1018 DC",NLD,English,Zoology | Veterinary Sciences,
Limosa,,0024-3620,0024-3620,NEDERLANDSE ORNITHOLOGISCHE UNIE,"C/O PAUL STARMANS, OUDE ARNHEMSEWEG 261, ZEIST, NETHERLANDS, 3705 BD",NLD,Multi-Language,Ornithology,Dutch; English
Veterinary Parasitology: Regional Studies and Reports,,2405-9390,2405-9390,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NLD,English,Parasitology | Veterinary Sciences,
Veterinary pathology,,0304-4017,1873-2550,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NLD,English,Parasitology | Veterinary Sciences,
Small Carnivore Conservation,IUCN SSC Small Carnivore Specialists Group,1019-5041,2957-4439,IUCN SSC Small Carnivore Specialists Group,,online-only,English,n/a,
Agricultural and Mechanical College of Texas,,,,,,USA,English,,
American Journal of Primatology,,0275-2565,1098-2345,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Zoology,
Animal Keeper's Forum,American Association of Zoo Keeper's,,,American Association of Zoo Keeper's,,USA,English,,
n/a,,,,Antioch College,,USA,English,,
Auk,American Ornithological Society,,,University of California Press,,USA,English,,
Behavioral Ecology,,1045-2249,1465-7279,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",USA,English,Ecology | Zoology | Biology,
Behavioral Ecology and Sociobiology,,0340-5443,1432-0762,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA,English,Behavioral Sciences | Ecology | Zoology,
Biotropica,,0006-3606,1744-7429,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Environment/Ecology,
Brigham Young University,,,,,,USA,English,,
"Bulletin of the Game, Fish and Oyster Commission","Game, Fish and Oyster Commission",,,"Game, Fish and Oyster Commission",,USA,English,,
Bulletin of the Southern California Academy of Science,Southern California Academy of Science,,,Southern California Academy of Science,,USA,English,,
n/a,,,,California Energy Comission,,USA,English,,
n/a,,,,California State University Sacramento,,USA,English,,
Carnivore,,,,"Carnivore Research Institute, Burke Museum DB-10, University of Washington",,USA,English,,
Comparative Parasitology,,1525-2647,1938-2952,HELMINTHOLOGICAL SOC WASHINGTON,"C/O ALLEN PRESS INC, 1041 NEW HAMPSHIRE ST, ACCT# 141866, LAWRENCE, USA, KS, 66044",USA,English,Parasitology | Zoology,
Control of the animal house environment,Laboratory Animals Ltd ,901334065,n/a,Laboratory Animals Ltd ,,USA,English,,
n/a,,,,Courier Corporation,,USA,English,,
n/a,none,n/a,n/a,Desert USA,,USA,English,,
Ecological Monographs,,0012-9615,1557-7015,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Ecology,
Ecology,Ecological Society of America,0012-9658,1939-9170,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Environment/Ecology,
Ecology and Evolution,none,2045-7758,2045-7758,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Environment/Ecology,
Environmental Biology of Fishes,,0378-1909,1573-5133,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA,English,Ecology | Marine & Freshwater Biology,
Epidemiology and Infection,,0950-2688,1469-4409,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",USA,English,"Public, Environmental & Occupational Health | Infectious Diseases",
Ethology,,0179-1613,1439-0310,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,Multi-Language,Behavioral Sciences | Zoology,
Frontiers in Ecology and the Environment,Ecological Society of America,1540-9295,1540-9309,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Environment/Ecology,
Herpetological Review,Society for the Study of Amphibians & Reptiles,0018-084X,0018-084X,SOC STUDY AMPHIBIANS & REPTILES,"DEPT HERPETOLOGY, AMERICAN MUSEUM OF NATURAL HISTORY, NEW YORK, USA, NY, 10024",USA,English,Zoology,
International Zoo Yearbook,Zoological Society of London,0074-9664,1748-1090,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,,
Journal of Animal Ecology,,0021-8790,1365-2656,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Ecology | Zoology,
Journal of Animal Science,,0021-8812,1525-3163,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",USA,English,"Agriculture, Dairy & Animal Science",
Journal of Cave and Karst Studies,National Speleological Society,1090-6924,2331-3714,NATL SPELEOLOGICAL SOC,"2813 CAVE AVE, HUNTSVILLE, USA, AL, 35810-4431",USA,English,"Geosciences, Multidisciplinary",
Journal of Environmental Pathology and Toxicology,American College of Toxicology,1091-5818,1092-874X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA,English,Pharmacology & Pharmacy | Toxicology,now INTERNATIONAL JOURNAL OF TOXICOLOGY
Journal of Mammalogy,American Society of Mammalogists,0022-2372,1545-1542,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",USA,English,Animal Sciences,
Journal of Tropical Ecology,,0266-4674,1469-7831,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",USA,English,Ecology,
Journal of Vertebrate Paleontology,,0272-4634,1937-2809,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",USA,English,Paleontology,
Laboratory Animals,,0023-6772,1758-1117,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA,English,Veterinary Sciences | Zoology,
Monographs of the American Society of Mammalogists,American Society of Mammalogists,,,The Williams & Wilkins Company,Baltimore,USA,English,n/a,
n/a,,,,Agricultural and Mechanical College of Texas,,USA,English,,
n/a,,,,Northern Arizona University,,USA,English,,
Northwestern Naturalist,Society of Northwestern Vertebrate Biology,1051-1733,1938-5315,Society of Northwestern Vertebrate Biology,,USA,English,n/a,
Oecologia,,0029-8549,1432-1939,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA,English,Ecology,
Oikos,,0030-1299,1600-0706,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Ecology,
Paleobiology,,0094-8373,1938-5331,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",USA,English,Biodiversity Conservation | Ecology | Evolutionary Biology | Paleontology,
Physiological Pyschology,,,,SPRINGER,,USA,English,,now Psychobiology?
PloS One,,1932-6203,1932-6203,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, USA, CA, 94111",USA,English,Multidisciplinary Sciences,
Proc. Animal Care Panel,,,,,,USA,English,,
Proceedings of the Oklahoma Academy of Science,Oklahoma Academy of Science,,,Oklahoma Academy of Science,,USA,English,,
Proceedings of the Society for Experimental Biology and Medicine,Society for Experimental Biology and Medicine,0037-9727,1525-1373,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,,
Smithsonian Contributions to Zoology,,0081-0282,1943-6696,SMITHSONIAN INST PRESS,"750 NINTH ST, N W STE 4300, WASHINGTON, USA, DC, 20560-0950",USA,English,Zoology,
n/a,,,,Sonoma State College,,USA,English,n/a,
Southern California Academy of Science,,,,,,USA,English,n/a,
n/a,,,,Sul Ross State University,,USA,English,n/a,
Texas Game and Fish Commission Bulletin,"Information-Education Division, Texas Parks and Wildlife Deptartment",,,"Information-Education Division, Texas Parks and Wildlife Deptartment",,USA,English,n/a,
Texas Journal of Science,The Texas Academy of Science,,,The Texas Academy of Science,,USA,English,n/a,
The American Naturalist,American Society of Naturalists,0003-0147,1537-5323,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",USA,English,Environment/Ecology,
The Condor,The Cooper Ornithological Society,105422,19385129,Oxford University Press,,USA,English,n/a,
The FASEB Journal,,0892-6638,1530-6860,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Biochemistry & Molecular Biology | Biology | Cell Biology,
The Journal of Wildlife Management,The Wildlife Society,0022-541X,1937-2817,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Animal Sciences,
The Quarterly review of biology,,0033-5770,1539-7718,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",USA,English,Biology,
The Southwestern Naturalist,Southwestern Association of Naturalists,0038-4909,1943-6262,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS, USA, TX, 78666",USA,Multi-Language,Environment/Ecology,English; Spanish
The Texas Academy of Science,,,,,,USA,English,,
n/a,,,,The University of Wisconsin Madison,,USA,English,,
Transactions of the Kansas Academy of Science,Kansas Academy of Science,,,Kansas Academy of Science,,USA,English,,
Transactions of the Western Section of the Wildlife Society,Western Section of the Wildlife Society,,,Western Section of the Wildlife Society,,USA,English,n/e,
n/a,,,,"University of California, Berkeley",,USA,English,,
n/a,,,,University of Northern Colorado,,USA,English,,
n/a,,,,Utah State University,,USA,English,,
Western North American Naturalist,,1527-0904,1944-8341,BRIGHAM YOUNG UNIV,"290 LIFE SCIENCE MUSEUM, PROVO, USA, UT, 84602",USA,English,Environment/Ecology,
"Wild mammals of North America: biology, management and economics",,,,The Johns Hopkins Univ. Press,,USA,English,,
Wilderness & environmental medicine,,1080-6032,1545-1534,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA,English,"Public, Environmental & Occupational Health | Sport Sciences",
Wildlife Society Bulletin,,2328-5540,2328-5540,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA,English,Environment/Ecology,
Management guidelines for bears and raccoons.,Association of British Wild Animal Keepers,950511684,,Association of British Wild Animal Keepers,,GBR,English,n/a,
Proceedings of the Animal Care Panel ,,0097-076X,,Animal Care Panel ,,USA,English,,
Microbiological Research,,,,ELSEVIER SCIENCE INC,,NLD,English,,
